Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.32,2,0.3068171838480691497579412172,0.309326484450934,0.309326484450934,0.307191335174621,0.307191335174621,0.0557806307724631,0.0665419893434303334120754984,0.0655227841935415334120754984,0.0010192051498888,2.0221199464699667838655662184,567.18145801384389261245908922,575.62528015146876869116339228,8753807000
12.33,2,0.3068000050678230093774269456,0.309309381659227,0.309309381659227,0.307174135445537,0.307174135445537,0.0557837069181468,0.0665444667363864504541032676,0.0655184922451602804541032676,0.00102597449122617,2.0219435016664313344919226913,567.18026269253269120846141251,575.6068525101819164764497128,8760913000
12.34,2,0.3067827578380348495701164603,0.309292210637514,0.309292210637514,0.307156867183439,0.307156867183439,0.0557867929370826,0.0665469516153871665581450471,0.0655142077828236165581450471,0.00103274383256355,2.0217673647593681900209070428,567.17916586024893522814934826,575.5885199708585624840581149,8768018000
12.35,2,0.3067656411129528203259805773,0.309275170438043,0.309275170438043,0.307139729585193,0.307139729585193,0.0557898812109605,0.0665494433135868559099694227,0.0655099301396859359099694227,0.00103951317390092,2.02159151654019512621383757,567.17806862098479193561015845,575.57018938308196782989761731,8775124000
12.36,2,0.3067485568112930196934587688,0.309258162919742,0.309258162919742,0.307122624449908,0.307122624449908,0.0557929751668835,0.0665519418309266480819311136,0.0655056593156883580819311136,0.00104628251523829,2.0214159569023625188320325696,567.17687168503074342863505947,575.55176709891242025697880163,8782228000
12.37,2,0.3067315021402963123053545805,0.309241185299499,0.309241185299499,0.30710554898142,0.30710554898142,0.0557960752274052,0.0665544474925735476654601993,0.0655013956359978876654601993,0.00105305185657566,2.0212406950563589084282057777,567.17587260255373327377985769,575.5335337259450806087381663,8789334000
12.38,2,0.3067143779959685812077087607,0.309224138413489,0.309224138413489,0.307088403954881,0.307088403954881,0.0557991848720142,0.0665569603151289619726015475,0.0654971391172159219726015475,0.00105982119791304,2.021065731372917903159373211,567.17477367258952807152397947,575.51520847555399448759345713,8796440000
12.39,2,0.3066973844006741748953396041,0.309207222394073,0.309207222394073,0.307071389636574,0.307071389636574,0.0558022967699982,0.0665594799568649328132584475,0.0654928894176145228132584475,0.00106659053925041,2.0208910559573909463911554481,567.17387281782009645073968198,575.49707245562401749987826356,8803545000
12.40,2,0.3066804223088767356510359669,0.309190338134763,0.309190338134763,0.307054406860182,0.307054406860182,0.055805414365558,0.0665620064011176808452857386,0.0654886465205299008452857386,0.00107335988058778,2.0207166682275371110719639424,567.17277284636423068155817094,575.47875092627235235252052708,8810651000
12.41,2,0.3066634899147016975780013519,0.309173483829162,0.309173483829162,0.307037453817627,0.307037453817627,0.0558085377384395,0.0665645396645420697970338826,0.0654844104426169197970338826,0.00108012922192515,2.0205425685556202729631169923,567.17197012854487426964025802,575.4607122773254151101245466,8817756000
